Date,Home,Away,Minute Scored,Goal Scorer,Fact,Team
2020-09-14,Brighton,Chelsea,66’,Kurt Zouma,Assist:Reece James,Chelsea
2020-09-19,Everton,West Brom,31’,Dominic Calvert-Lewin,,Everton
2020-09-19,Everton,West Brom,45’,James Rodríguez,Assist:Richarlison,Everton
2020-09-19,Everton,West Brom,54’,Michael Keane,,Everton
2020-09-19,Everton,West Brom,62’,Dominic Calvert-Lewin,Assist:Richarlison,Everton
2020-09-19,Everton,West Brom,66’,Dominic Calvert-Lewin,Assist:James Rodríguez,Everton
2020-09-19,Everton,West Brom,10’,Grady Diangana,Assist:Matheus Pereira,West Brom
2020-09-19,Everton,West Brom,47’,Matheus Pereira,,West Brom
2020-09-19,Leeds United,Fulham,5’,Hélder Costa,,Leeds United
2020-09-19,Leeds United,Fulham,41’,Mateusz Klich,Penalty Kick,Leeds United
2020-09-19,Leeds United,Fulham,50’,Patrick Bamford,Assist:Mateusz Klich,Leeds United
2020-09-19,Leeds United,Fulham,57’,Hélder Costa,Assist:Patrick Bamford,Leeds United
2020-09-19,Leeds United,Fulham,34’,Aleksandar Mitrović,Penalty Kick,Fulham
2020-09-19,Leeds United,Fulham,62’,Bobby Reid,Assist:Andre-Frank Zambo Anguissa,Fulham
2020-09-19,Leeds United,Fulham,67’,Aleksandar Mitrović,Assist:Kenny Tete,Fulham
2020-09-19,Manchester Utd,Crystal Palace,80’,Donny van de Beek,,Manchester Utd
2020-09-19,Manchester Utd,Crystal Palace,7’,Andros Townsend,Assist:Jeffrey Schlupp,Crystal Palace
2020-09-19,Manchester Utd,Crystal Palace,74’,Wilfried Zaha,Penalty Kick,Crystal Palace
2020-09-19,Manchester Utd,Crystal Palace,85’,Wilfried Zaha,,Crystal Palace
2020-09-19,Arsenal,West Ham,25’,Alexandre Lacazette,Assist:Pierre-Emerick Aubameyang,Arsenal
2020-09-19,Arsenal,West Ham,85’,Eddie Nketiah,Assist:Dani Ceballos,Arsenal
2020-09-19,Arsenal,West Ham,45’,Michail Antonio,Assist:Ryan Fredericks,West Ham
2020-09-20,Southampton,Tottenham,32’,Danny Ings,Assist:Kyle Walker-Peters,Southampton
2020-09-20,Southampton,Tottenham,90’,Danny Ings,Penalty Kick,Southampton
2020-09-20,Southampton,Tottenham,45+2’,Son Heung-min,Assist:Harry Kane,Tottenham
2020-09-20,Southampton,Tottenham,47’,Son Heung-min,Assist:Harry Kane,Tottenham
2020-09-20,Southampton,Tottenham,64’,Son Heung-min,Assist:Harry Kane,Tottenham
2020-09-20,Southampton,Tottenham,73’,Son Heung-min,Assist:Harry Kane,Tottenham
2020-09-20,Southampton,Tottenham,82’,Harry Kane,,Tottenham
2020-09-20,Newcastle Utd,Brighton,4’,Neal Maupay,Penalty Kick,Brighton
2020-09-20,Newcastle Utd,Brighton,7’,Neal Maupay,Assist:Leandro Trossard,Brighton
2020-09-20,Newcastle Utd,Brighton,83’,Aaron Connolly,Assist:Neal Maupay,Brighton
2020-09-20,Chelsea,Liverpool,50’,Sadio Mané,Assist:Roberto Firmino,Liverpool
2020-09-20,Chelsea,Liverpool,54’,Sadio Mané,,Liverpool
2020-09-20,Leicester City,Burnley,20’,Harvey Barnes,Assist:Timothy Castagne,Leicester City
2020-09-20,Leicester City,Burnley,50’,Erik Pieters,Own Goal,Leicester City
2020-09-20,Leicester City,Burnley,61’,James Justin,,Leicester City
2020-09-20,Leicester City,Burnley,79’,Dennis Praet,Assist:Harvey Barnes,Leicester City
2020-09-20,Leicester City,Burnley,10’,Chris Wood,,Burnley
2020-09-20,Leicester City,Burnley,73’,Jimmy Dunne,Assist:Dwight McNeil,Burnley
2020-09-21,Aston Villa,Sheffield Utd,63’,Ezri Konsa,Assist:Tyrone Mings,Aston Villa
2020-09-21,Wolves,Manchester City,78’,Raúl Jiménez,Assist:Daniel Podence,Wolves
2020-09-21,Wolves,Manchester City,20’,Kevin De Bruyne,Penalty Kick,Manchester City
2020-09-21,Wolves,Manchester City,32’,Phil Foden,Assist:Raheem Sterling,Manchester City
2020-09-21,Wolves,Manchester City,90+5’,Gabriel Jesus,Assist:Kevin De Bruyne,Manchester City
2020-09-26,Brighton,Manchester Utd,40’,Neal Maupay,Penalty Kick,Brighton
2020-09-26,Brighton,Manchester Utd,90+5’,Solly March,Assist:Alireza Jahanbakhsh,Brighton
2020-09-26,Brighton,Manchester Utd,43’,Lewis Dunk,Own Goal,Manchester Utd
2020-09-26,Brighton,Manchester Utd,55’,Marcus Rashford,Assist:Bruno Fernandes,Manchester Utd
2020-09-26,Brighton,Manchester Utd,90+10’,Bruno Fernandes,Penalty Kick,Manchester Utd
2020-09-26,Crystal Palace,Everton,26’,Cheikhou Kouyaté,Assist:Andros Townsend,Crystal Palace
2020-09-26,Crystal Palace,Everton,10’,Dominic Calvert-Lewin,Assist:Séamus Coleman,Everton
2020-09-26,Crystal Palace,Everton,40’,Richarlison,Penalty Kick,Everton
2020-09-26,West Brom,Chelsea,4’,Callum Robinson,Assist:Matheus Pereira,West Brom
2020-09-26,West Brom,Chelsea,25’,Callum Robinson,,West Brom
2020-09-26,West Brom,Chelsea,27’,Kyle Bartley,Assist:Darnell Furlong,West Brom
2020-09-26,West Brom,Chelsea,55’,Mason Mount,Assist:César Azpilicueta,Chelsea
2020-09-26,West Brom,Chelsea,70’,Callum Hudson-Odoi,Assist:Kai Havertz,Chelsea
2020-09-26,West Brom,Chelsea,90+3’,Tammy Abraham,,Chelsea
2020-09-26,Burnley,Southampton,5’,Danny Ings,Assist:Che Adams,Southampton
2020-09-27,Sheffield Utd,Leeds United,88’,Patrick Bamford,Assist:Jack Harrison,Leeds United
2020-09-27,Tottenham,Newcastle Utd,25’,Lucas Moura,Assist:Harry Kane,Tottenham
2020-09-27,Tottenham,Newcastle Utd,90+7’,Callum Wilson,Penalty Kick,Newcastle Utd
2020-09-27,Manchester City,Leicester City,4’,Riyad Mahrez,,Manchester City
2020-09-27,Manchester City,Leicester City,84’,Nathan Aké,Assist:Riyad Mahrez,Manchester City
2020-09-27,Manchester City,Leicester City,37’,Jamie Vardy,Penalty Kick,Leicester City
2020-09-27,Manchester City,Leicester City,54’,Jamie Vardy,Assist:Timothy Castagne,Leicester City
2020-09-27,Manchester City,Leicester City,58’,Jamie Vardy,Penalty Kick,Leicester City
2020-09-27,Manchester City,Leicester City,77’,James Maddison,Assist:Nampalys Mendy,Leicester City
2020-09-27,Manchester City,Leicester City,88’,Youri Tielemans,Penalty Kick,Leicester City
2020-09-27,West Ham,Wolves,17’,Jarrod Bowen,Assist:Pablo Fornals,West Ham
2020-09-27,West Ham,Wolves,57’,Jarrod Bowen,,West Ham
2020-09-27,West Ham,Wolves,66’,Raúl Jiménez,Own Goal,West Ham
2020-09-27,West Ham,Wolves,90+3’,Sébastien Haller,Assist:Arthur Masuaku,West Ham
2020-09-28,Fulham,Aston Villa,4’,Jack Grealish,Assist:John McGinn,Aston Villa
2020-09-28,Fulham,Aston Villa,15’,Conor Hourihane,Assist:John McGinn,Aston Villa
2020-09-28,Fulham,Aston Villa,48’,Tyrone Mings,Assist:Conor Hourihane,Aston Villa
2020-09-28,Liverpool,Arsenal,28’,Sadio Mané,,Liverpool
2020-09-28,Liverpool,Arsenal,34’,Andrew Robertson,Assist:Trent Alexander-Arnold,Liverpool
2020-09-28,Liverpool,Arsenal,88’,Diogo Jota,,Liverpool
2020-09-28,Liverpool,Arsenal,25’,Alexandre Lacazette,,Arsenal
2020-10-03,Chelsea,Crystal Palace,50’,Ben Chilwell,,Chelsea
2020-10-03,Chelsea,Crystal Palace,66’,Kurt Zouma,Assist:Ben Chilwell,Chelsea
2020-10-03,Chelsea,Crystal Palace,78’,Jorginho,Penalty Kick,Chelsea
2020-10-03,Chelsea,Crystal Palace,82’,Jorginho,Penalty Kick,Chelsea
2020-10-03,Everton,Brighton,16’,Dominic Calvert-Lewin,Assist:Gylfi Sigurðsson,Everton
2020-10-03,Everton,Brighton,45+2’,Yerry Mina,Assist:James Rodríguez,Everton
2020-10-03,Everton,Brighton,52’,James Rodríguez,Assist:Alex Iwobi,Everton
2020-10-03,Everton,Brighton,70’,James Rodríguez,Assist:Abdoulaye Doucouré,Everton
2020-10-03,Everton,Brighton,41’,Neal Maupay,,Brighton
2020-10-03,Everton,Brighton,90+2’,Yves Bissouma,Assist:Solly March,Brighton
2020-10-03,Leeds United,Manchester City,59’,Rodrigo,,Leeds United
2020-10-03,Leeds United,Manchester City,17’,Raheem Sterling,Assist:Ferrán Torres,Manchester City
2020-10-03,Newcastle Utd,Burnley,14’,Allan Saint-Maximin,Assist:Callum Wilson,Newcastle Utd
2020-10-03,Newcastle Utd,Burnley,65’,Callum Wilson,Assist:Allan Saint-Maximin,Newcastle Utd
2020-10-03,Newcastle Utd,Burnley,77’,Callum Wilson,Penalty Kick,Newcastle Utd
2020-10-03,Newcastle Utd,Burnley,61’,Ashley Westwood,,Burnley
2020-10-04,Leicester City,West Ham,14’,Michail Antonio,Assist:Aaron Cresswell,West Ham
2020-10-04,Leicester City,West Ham,34’,Pablo Fornals,Assist:Aaron Cresswell,West Ham
2020-10-04,Leicester City,West Ham,83’,Jarrod Bowen,Assist:Pablo Fornals,West Ham
2020-10-04,Southampton,West Brom,41’,Moussa Djenepo,,Southampton
2020-10-04,Southampton,West Brom,69’,Oriol Romeu,Assist:Stuart Armstrong,Southampton
2020-10-04,Arsenal,Sheffield Utd,61’,Bukayo Saka,Assist:Héctor Bellerín,Arsenal
2020-10-04,Arsenal,Sheffield Utd,64’,Nicolas Pépé,Assist:Héctor Bellerín,Arsenal
2020-10-04,Arsenal,Sheffield Utd,83’,David McGoldrick,Assist:George Baldock,Sheffield Utd
2020-10-04,Wolves,Fulham,56’,Pedro Neto,,Wolves
2020-10-04,Manchester Utd,Tottenham,2’,Bruno Fernandes,Penalty Kick,Manchester Utd
2020-10-04,Manchester Utd,Tottenham,4’,Tanguy Ndombele,,Tottenham
2020-10-04,Manchester Utd,Tottenham,7’,Son Heung-min,Assist:Harry Kane,Tottenham
2020-10-04,Manchester Utd,Tottenham,30’,Harry Kane,Assist:Son Heung-min,Tottenham
2020-10-04,Manchester Utd,Tottenham,37’,Son Heung-min,Assist:Serge Aurier,Tottenham
2020-10-04,Manchester Utd,Tottenham,51’,Serge Aurier,Assist:Pierre Højbjerg,Tottenham
2020-10-04,Manchester Utd,Tottenham,79’,Harry Kane,Penalty Kick,Tottenham
2020-10-04,Aston Villa,Liverpool,4’,Ollie Watkins,Assist:Jack Grealish,Aston Villa
2020-10-04,Aston Villa,Liverpool,22’,Ollie Watkins,Assist:Jack Grealish,Aston Villa
2020-10-04,Aston Villa,Liverpool,35’,John McGinn,,Aston Villa
2020-10-04,Aston Villa,Liverpool,39’,Ollie Watkins,Assist:Trézéguet,Aston Villa
2020-10-04,Aston Villa,Liverpool,55’,Ross Barkley,Assist:Jack Grealish,Aston Villa
2020-10-04,Aston Villa,Liverpool,66’,Jack Grealish,Assist:Ollie Watkins,Aston Villa
2020-10-04,Aston Villa,Liverpool,75’,Jack Grealish,Assist:John McGinn,Aston Villa
2020-10-04,Aston Villa,Liverpool,33’,Mohamed Salah,,Liverpool
2020-10-04,Aston Villa,Liverpool,60’,Mohamed Salah,Assist:Roberto Firmino,Liverpool
2020-10-17,Everton,Liverpool,19’,Michael Keane,Assist:James Rodríguez,Everton
2020-10-17,Everton,Liverpool,81’,Dominic Calvert-Lewin,Assist:Lucas Digne,Everton
2020-10-17,Everton,Liverpool,3’,Sadio Mané,Assist:Andrew Robertson,Liverpool
2020-10-17,Everton,Liverpool,72’,Mohamed Salah,,Liverpool
2020-10-17,Chelsea,Southampton,15’,Timo Werner,Assist:Ben Chilwell,Chelsea
2020-10-17,Chelsea,Southampton,28’,Timo Werner,,Chelsea
2020-10-17,Chelsea,Southampton,59’,Kai Havertz,Assist:Timo Werner,Chelsea
2020-10-17,Chelsea,Southampton,43’,Danny Ings,Assist:Che Adams,Southampton
2020-10-17,Chelsea,Southampton,57’,Che Adams,,Southampton
2020-10-17,Chelsea,Southampton,90+2’,Jannik Vestergaard,Assist:Theo Walcott,Southampton
2020-10-17,Manchester City,Arsenal,23’,Raheem Sterling,,Manchester City
2020-10-17,Newcastle Utd,Manchester Utd,2’,Luke Shaw,Own Goal,Newcastle Utd
2020-10-17,Newcastle Utd,Manchester Utd,23’,Harry Maguire,Assist:Juan Mata,Manchester Utd
2020-10-17,Newcastle Utd,Manchester Utd,86’,Bruno Fernandes,Assist:Marcus Rashford,Manchester Utd
2020-10-17,Newcastle Utd,Manchester Utd,90’,Aaron Wan-Bissaka,Assist:Marcus Rashford,Manchester Utd
2020-10-17,Newcastle Utd,Manchester Utd,90+6’,Marcus Rashford,Assist:Bruno Fernandes,Manchester Utd
2020-10-18,Sheffield Utd,Fulham,85’,Billy Sharp,Penalty Kick,Sheffield Utd
2020-10-18,Sheffield Utd,Fulham,77’,Ademola Lookman,,Fulham
2020-10-18,Crystal Palace,Brighton,19’,Wilfried Zaha,Penalty Kick,Crystal Palace
2020-10-18,Crystal Palace,Brighton,90’,Alexis Mac Allister,Assist:Aaron Connolly,Brighton
2020-10-18,Tottenham,West Ham,1’,Son Heung-min,Assist:Harry Kane,Tottenham
2020-10-18,Tottenham,West Ham,8’,Harry Kane,Assist:Son Heung-min,Tottenham
2020-10-18,Tottenham,West Ham,16’,Harry Kane,Assist:Sergio Reguilón,Tottenham
2020-10-18,Tottenham,West Ham,82’,Fabián Balbuena,Assist:Aaron Cresswell,West Ham
2020-10-18,Tottenham,West Ham,85’,Davinson Sánchez,Own Goal,West Ham
2020-10-18,Tottenham,West Ham,90+4’,Manuel Lanzini,,West Ham
2020-10-18,Leicester City,Aston Villa,90+1’,Ross Barkley,Assist:John McGinn,Aston Villa
2020-10-19,Leeds United,Wolves,70’,Raúl Jiménez,Assist:Max Kilman,Wolves
2020-10-23,Aston Villa,Leeds United,55’,Patrick Bamford,,Leeds United
2020-10-23,Aston Villa,Leeds United,67’,Patrick Bamford,Assist:Mateusz Klich,Leeds United
2020-10-23,Aston Villa,Leeds United,74’,Patrick Bamford,Assist:Hélder Costa,Leeds United
2020-10-24,West Ham,Manchester City,18’,Michail Antonio,Assist:Vladimír Coufal,West Ham
2020-10-24,West Ham,Manchester City,51’,Phil Foden,Assist:João Cancelo,Manchester City
2020-10-24,Fulham,Crystal Palace,90+5’,Tom Cairney,Assist:Harrison Reed,Fulham
2020-10-24,Fulham,Crystal Palace,8’,Jaïro Riedewald,Assist:Wilfried Zaha,Crystal Palace
2020-10-24,Fulham,Crystal Palace,64’,Wilfried Zaha,Assist:Michy Batshuayi,Crystal Palace
2020-10-24,Liverpool,Sheffield Utd,41’,Roberto Firmino,,Liverpool
2020-10-24,Liverpool,Sheffield Utd,64’,Diogo Jota,Assist:Sadio Mané,Liverpool
2020-10-24,Liverpool,Sheffield Utd,13’,Sander Berge,Penalty Kick,Sheffield Utd
2020-10-25,Southampton,Everton,27’,James Ward-Prowse,Assist:Danny Ings,Southampton
2020-10-25,Southampton,Everton,35’,Che Adams,Assist:Danny Ings,Southampton
2020-10-25,Wolves,Newcastle Utd,80’,Raúl Jiménez,,Wolves
2020-10-25,Wolves,Newcastle Utd,89’,Jacob Murphy,,Newcastle Utd
2020-10-25,Arsenal,Leicester City,80’,Jamie Vardy,Assist:Cengiz Ünder,Leicester City
2020-10-26,Brighton,West Brom,40’,Jake Livermore,Own Goal,Brighton
2020-10-26,Brighton,West Brom,83’,Karlan Grant,,West Brom
2020-10-26,Burnley,Tottenham,76’,Son Heung-min,Assist:Harry Kane,Tottenham
2020-10-30,Wolves,Crystal Palace,18’,Rayan Aït Nouri,,Wolves
2020-10-30,Wolves,Crystal Palace,27’,Daniel Podence,Assist:Pedro Neto,Wolves
2020-10-31,Sheffield Utd,Manchester City,28’,Kyle Walker,Assist:Kevin De Bruyne,Manchester City
2020-10-31,Burnley,Chelsea,26’,Hakim Ziyech,Assist:Tammy Abraham,Chelsea
2020-10-31,Burnley,Chelsea,63’,Kurt Zouma,Assist:Mason Mount,Chelsea
2020-10-31,Burnley,Chelsea,70’,Timo Werner,Assist:Hakim Ziyech,Chelsea
2020-10-31,Liverpool,West Ham,42’,Mohamed Salah,Penalty Kick,Liverpool
2020-10-31,Liverpool,West Ham,85’,Diogo Jota,Assist:Xherdan Shaqiri,Liverpool
2020-10-31,Liverpool,West Ham,10’,Pablo Fornals,,West Ham
2020-11-01,Aston Villa,Southampton,62’,Tyrone Mings,Assist:Jack Grealish,Aston Villa
2020-11-01,Aston Villa,Southampton,90+3’,Ollie Watkins,Penalty Kick,Aston Villa
2020-11-01,Aston Villa,Southampton,90+7’,Jack Grealish,Assist:Douglas Luiz,Aston Villa
2020-11-01,Aston Villa,Southampton,20’,Jannik Vestergaard,Assist:James Ward-Prowse,Southampton
2020-11-01,Aston Villa,Southampton,33’,James Ward-Prowse,,Southampton
2020-11-01,Aston Villa,Southampton,45’,James Ward-Prowse,,Southampton
2020-11-01,Aston Villa,Southampton,58’,Danny Ings,Assist:Stuart Armstrong,Southampton
2020-11-01,Newcastle Utd,Everton,56’,Callum Wilson,Penalty Kick,Newcastle Utd
2020-11-01,Newcastle Utd,Everton,84’,Callum Wilson,,Newcastle Utd
2020-11-01,Newcastle Utd,Everton,90+1’,Dominic Calvert-Lewin,,Everton
2020-11-01,Manchester Utd,Arsenal,69’,Pierre-Emerick Aubameyang,Penalty Kick,Arsenal
2020-11-01,Tottenham,Brighton,13’,Harry Kane,Penalty Kick,Tottenham
2020-11-01,Tottenham,Brighton,73’,Gareth Bale,Assist:Sergio Reguilón,Tottenham
2020-11-01,Tottenham,Brighton,56’,Tariq Lamptey,Assist:Pascal Groß,Brighton
2020-11-02,Fulham,West Brom,26’,Bobby Reid,Assist:Aleksandar Mitrović,Fulham
2020-11-02,Fulham,West Brom,30’,Ola Aina,Assist:Aleksandar Mitrović,Fulham
2020-11-02,Leeds United,Leicester City,48’,Stuart Dallas,Assist:Jack Harrison,Leeds United
2020-11-02,Leeds United,Leicester City,2’,Harvey Barnes,Assist:Jamie Vardy,Leicester City
2020-11-02,Leeds United,Leicester City,21’,Youri Tielemans,,Leicester City
2020-11-02,Leeds United,Leicester City,76’,Jamie Vardy,Assist:Cengiz Ünder,Leicester City
2020-11-02,Leeds United,Leicester City,90+1’,Youri Tielemans,Penalty Kick,Leicester City
2020-11-06,Southampton,Newcastle Utd,7’,Che Adams,Assist:Theo Walcott,Southampton
2020-11-06,Southampton,Newcastle Utd,82’,Stuart Armstrong,,Southampton
2020-11-07,Everton,Manchester Utd,19’,Bernard,,Everton
2020-11-07,Everton,Manchester Utd,25’,Bruno Fernandes,Assist:Luke Shaw,Manchester Utd
2020-11-07,Everton,Manchester Utd,32’,Bruno Fernandes,Assist:Marcus Rashford,Manchester Utd
2020-11-07,Everton,Manchester Utd,90+5’,Edinson Cavani,Assist:Bruno Fernandes,Manchester Utd
2020-11-07,Crystal Palace,Leeds United,12’,Scott Dann,Assist:Eberechi Eze,Crystal Palace
2020-11-07,Crystal Palace,Leeds United,22’,Eberechi Eze,,Crystal Palace
2020-11-07,Crystal Palace,Leeds United,42’,Hélder Costa,Own Goal,Crystal Palace
2020-11-07,Crystal Palace,Leeds United,70’,Jordan Ayew,Assist:Wilfried Zaha,Crystal Palace
2020-11-07,Crystal Palace,Leeds United,27’,Patrick Bamford,Assist:Mateusz Klich,Leeds United
2020-11-07,Chelsea,Sheffield Utd,23’,Tammy Abraham,Assist:Mateo Kovačić,Chelsea
2020-11-07,Chelsea,Sheffield Utd,34’,Ben Chilwell,Assist:Hakim Ziyech,Chelsea
2020-11-07,Chelsea,Sheffield Utd,77’,Thiago Silva,Assist:Hakim Ziyech,Chelsea
2020-11-07,Chelsea,Sheffield Utd,80’,Timo Werner,Assist:N'Golo Kanté,Chelsea
2020-11-07,Chelsea,Sheffield Utd,9’,David McGoldrick,Assist:Sander Berge,Sheffield Utd
2020-11-07,West Ham,Fulham,90+1’,Tomáš Souček,Assist:Saïd Benrahma,West Ham
2020-11-08,West Brom,Tottenham,88’,Harry Kane,Assist:Matt Doherty,Tottenham
2020-11-08,Leicester City,Wolves,15’,Jamie Vardy,Penalty Kick,Leicester City
2020-11-08,Manchester City,Liverpool,31’,Gabriel Jesus,Assist:Kevin De Bruyne,Manchester City
2020-11-08,Manchester City,Liverpool,13’,Mohamed Salah,Penalty Kick,Liverpool
2020-11-08,Arsenal,Aston Villa,25’,Bukayo Saka,Own Goal,Aston Villa
2020-11-08,Arsenal,Aston Villa,72’,Ollie Watkins,Assist:Ross Barkley,Aston Villa
2020-11-08,Arsenal,Aston Villa,75’,Ollie Watkins,Assist:Jack Grealish,Aston Villa
2020-11-21,Newcastle Utd,Chelsea,10’,Federico Fernández,Own Goal,Chelsea
2020-11-21,Newcastle Utd,Chelsea,65’,Tammy Abraham,Assist:Timo Werner,Chelsea
2020-11-21,Aston Villa,Brighton,47’,Ezri Konsa,Assist:Bertrand Traoré,Aston Villa
2020-11-21,Aston Villa,Brighton,12’,Danny Welbeck,Assist:Adam Lallana,Brighton
2020-11-21,Aston Villa,Brighton,56’,Solly March,Assist:Pascal Groß,Brighton
2020-11-21,Tottenham,Manchester City,5’,Son Heung-min,Assist:Tanguy Ndombele,Tottenham
2020-11-21,Tottenham,Manchester City,65’,Giovani Lo Celso,Assist:Harry Kane,Tottenham
2020-11-21,Manchester Utd,West Brom,56’,Bruno Fernandes,Penalty Kick,Manchester Utd
